Sector / group,CN code,Source heading (CBAM text),Description,Condition / note,Status
Cement,2507 00 80,,Kaolinic clays (other than kaolin),,"Existing CBAM scope (Reg. 2023/956, in force)"
Cement,2523 10 00,,Cement clinkers,,"Existing CBAM scope (Reg. 2023/956, in force)"
Cement,2523 21 00,,"White portland cement, whether or not artificially coloured",,"Existing CBAM scope (Reg. 2023/956, in force)"
Cement,2523 29 00,,"Portland cement (excl. white, whether or not artificially coloured)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Cement,2523 30 00,,Aluminous cement,,"Existing CBAM scope (Reg. 2023/956, in force)"
Cement,2523 90 00,,"Cement, whether or not coloured (excl. portland cement and aluminous cement)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Hydrogen,2804 10 00,,Hydrogen,,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,2808 00 00,,Nitric acid; sulphonitric acids,,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,2814 10 00,,Anhydrous ammonia,,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,2814 20 00,,Ammonia in aqueous solution,,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,2834 21 00,,Nitrate of potassium,,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 10 12,,"Urea in aqueous solution, containing > 45 % nitrogen in relation to the weight of the dry product and containing ≥ 31,8 % but ≤ 33,2 % by weight of urea (excl. that in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 10 15,,"Urea in aqueous solution, containing > 45 % nitrogen in relation to the weight of the dry product and containing > 33,2 % but ≤ 55 % by weight of urea (excl. that in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 10 19,,"Urea, whether or not in aqueous solution, containing > 45 % nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg, or in aqueous solution containing ≥ 31,8 % but ≤ 55 % by weight of urea)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 10 90,,"Urea, whether or not in aqueous solution, containing ≤ 45 % by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 21 00,,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 29 00,,Double salts and mixtures of ammonium sulphate and ammonium nitrate (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of ≤ 10 kg),,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 30 10,,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of ≤ 10 kg),,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 30 90,,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 40 10,,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing ≤ 28 % nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 40 90,,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28 % nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 50 00,,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 60 00,,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of ≤ 10 kg)",,"Existing CBAM scope (Reg. 2023/956, in force)"
Fertilisers,3102 80 00,,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of ≤ 10 kg),,"Existing CBAM scope (Reg. 2023/956, in force)"
