year,sector,baseline_years,regulation_row_count,us_census_cbam_usd,eu_comext_cbam_usd,difference_usd,us_to_eu_ratio
2026,Iron & Steel,2022;2023;2024;2025,47,55655683.41,121696170.67,-66040487.26,0.457333
2026,Aluminum,2022;2023;2024;2025,21,4006711.72,5327479.66,-1320767.95,0.752084
2026,Cement,2022;2023;2024;2025,8,432661.72,103100.52,329561.2,4.196504
2026,Fertilizers,2022;2023;2024;2025,27,123249147.87,103941016.97,19308130.9,1.18576
2026,Hydrogen,2022;2023;2024;2025,1,410239.5,29635475.07,-29225235.57,0.013843
2027,Iron & Steel,2022;2023;2024;2025,47,65401227.45,137267455.2,-71866227.75,0.476451
2027,Aluminum,2022;2023;2024;2025,21,4967222.66,6545391.23,-1578168.57,0.758889
2027,Cement,2022;2023;2024;2025,8,523393.94,124784.46,398609.48,4.194384
2027,Fertilizers,2022;2023;2024;2025,27,125190097.13,105538614.36,19651482.78,1.186202
2027,Hydrogen,2022;2023;2024;2025,1,457280.01,33033655.76,-32576375.75,0.013843
2028,Iron & Steel,2022;2023;2024;2025,47,76176009.54,153829125.29,-77653115.75,0.495199
2028,Aluminum,2022;2023;2024;2025,21,6059031.79,7925173.81,-1866142.02,0.76453
2028,Cement,2022;2023;2024;2025,8,625434.02,149176.87,476257.15,4.192567
2028,Fertilizers,2022;2023;2024;2025,27,129071995.67,108733809.13,20338186.54,1.187046
2028,Hydrogen,2022;2023;2024;2025,1,506464.64,36586726.7,-36080262.05,0.013843
2029,Iron & Steel,2022;2023;2024;2025,47,81329592.83,158787139.02,-77457546.19,0.512193
2029,Aluminum,2022;2023;2024;2025,21,6714957.14,8732456.6,-2017499.46,0.768965
2029,Cement,2022;2023;2024;2025,8,681973.29,162719.16,519254.14,4.191106
2029,Fertilizers,2022;2023;2024;2025,27,138776742,116721796.06,22054945.94,1.188953
2029,Hydrogen,2022;2023;2024;2025,1,517185.26,37361177.95,-36843992.69,0.013843
2030,Iron & Steel,2022;2023;2024;2025,47,92049046.06,169099807.58,-77050761.52,0.544347
2030,Aluminum,2022;2023;2024;2025,21,8079281.87,10411604.81,-2332322.94,0.775988
2030,Cement,2022;2023;2024;2025,8,2509383.02,249784.69,2259598.33,10.046184
2030,Fertilizers,2022;2023;2024;2025,27,158962614.37,133336808.87,25625805.5,1.192189
2030,Hydrogen,2022;2023;2024;2025,1,539484.13,38972036.55,-38432552.41,0.013843
2031,Iron & Steel,2022;2023;2024;2025,47,97202629.35,174057821.31,-76855191.97,0.55845
2031,Aluminum,2022;2023;2024;2025,21,8735207.22,11218887.6,-2483680.38,0.778616
2031,Cement,2022;2023;2024;2025,8,4937885.62,345033.75,4592851.87,14.311312
2031,Fertilizers,2022;2023;2024;2025,27,168667360.7,141324795.8,27342564.9,1.193473
2031,Hydrogen,2022;2023;2024;2025,1,550204.75,39746487.8,-39196283.05,0.013843
2032,Iron & Steel,2022;2023;2024;2025,47,102356212.63,179015835.04,-76659622.41,0.571772
2032,Aluminum,2022;2023;2024;2025,21,9391132.57,12026170.39,-2635037.82,0.780891
2032,Cement,2022;2023;2024;2025,8,7366388.22,440282.8,6926105.41,16.731038
2032,Fertilizers,2022;2023;2024;2025,27,178372107.03,149312782.73,29059324.3,1.19462
2032,Hydrogen,2022;2023;2024;2025,1,560925.36,40520939.05,-39960013.68,0.013843
2033,Iron & Steel,2022;2023;2024;2025,47,107509795.92,183973848.77,-76464052.86,0.584375
2033,Aluminum,2022;2023;2024;2025,21,10047057.92,12833453.18,-2786395.26,0.78288
2033,Cement,2022;2023;2024;2025,8,9794890.81,535531.86,9259358.96,18.290025
2033,Fertilizers,2022;2023;2024;2025,27,188076853.36,157300769.65,30776083.7,1.195651
2033,Hydrogen,2022;2023;2024;2025,1,571645.98,41295390.3,-40723744.32,0.013843
2034,Iron & Steel,2022;2023;2024;2025,47,113281809.19,189526824.15,-76245014.95,0.597709
2034,Aluminum,2022;2023;2024;2025,21,10781694.32,13737609.91,-2955915.59,0.78483
2034,Cement,2022;2023;2024;2025,8,12514813.72,642210.8,11872602.93,19.487081
2034,Fertilizers,2022;2023;2024;2025,27,198946169.25,166247315.01,32698854.24,1.196688
2034,Hydrogen,2022;2023;2024;2025,1,583653.06,42162775.7,-41579122.63,0.013843
2035,Iron & Steel,2022;2023;2024;2025,47,113281809.19,189526824.15,-76245014.95,0.597709
2035,Aluminum,2022;2023;2024;2025,21,10781694.32,13737609.91,-2955915.59,0.78483
2035,Cement,2022;2023;2024;2025,8,12514813.72,642210.8,11872602.93,19.487081
2035,Fertilizers,2022;2023;2024;2025,27,198946169.25,166247315.01,32698854.24,1.196688
2035,Hydrogen,2022;2023;2024;2025,1,583653.06,42162775.7,-41579122.63,0.013843
