Year,Sector,Annual Trade Volume (t),Wtd. Default Value (tCO2e/t),Mark-up (%),Wtd. Benchmark (tCO2e/t),CBAM Factor (%),Projected CBAM Exposure (USD)
2026,Iron & Steel,2481933.8935000002,0.690,10,0.188,97.5,121692970.16
2026,Aluminum,51171.924499999994,2.425,10,1.482,97.5,5327479.66
2026,Cement,13205.182499999999,0.439,10,0.678,97.5,103100.52
2026,Fertilizers,924388.5014999999,2.091,1,0.812,97.5,103941016.97
2026,Hydrogen,197.9055,26.640,10,5.089,97.5,410239.50
2027,Iron & Steel,2481933.8935000002,0.690,20,0.188,95.0,137263046.00
2027,Aluminum,51171.924499999994,2.425,20,1.482,95.0,6545391.23
2027,Cement,13205.182499999999,0.439,20,0.678,95.0,124784.46
2027,Fertilizers,924388.5014999999,2.091,1,0.812,95.0,105538614.36
2027,Hydrogen,197.9055,26.640,20,5.089,95.0,457280.01
2028,Iron & Steel,2481933.8935000002,0.690,30,0.188,90.0,153823305.49
2028,Aluminum,51171.924499999994,2.425,30,1.482,90.0,7925173.81
2028,Cement,13205.182499999999,0.439,30,0.678,90.0,149176.87
2028,Fertilizers,924388.5014999999,2.091,1,0.812,90.0,108733809.13
2028,Hydrogen,197.9055,26.640,30,5.089,90.0,506464.64
2029,Iron & Steel,2481933.8935000002,0.690,30,0.188,77.5,158780309.71
2029,Aluminum,51171.924499999994,2.425,30,1.482,77.5,8732456.60
2029,Cement,13205.182499999999,0.439,30,0.678,77.5,162719.16
2029,Fertilizers,924388.5014999999,2.091,1,0.812,77.5,116721796.06
2029,Hydrogen,197.9055,26.640,30,5.089,77.5,517185.26
2030,Iron & Steel,2481933.8935000002,0.690,30,0.188,51.5,169090878.48
2030,Aluminum,51171.924499999994,2.425,30,1.482,51.5,10411604.81
2030,Cement,13205.182499999999,0.439,30,0.678,51.5,249784.69
2030,Fertilizers,924388.5014999999,2.091,1,0.812,51.5,133336808.87
2030,Hydrogen,197.9055,26.640,30,5.089,51.5,539484.13
2031,Iron & Steel,2481933.8935000002,0.690,30,0.188,39.0,174047882.70
2031,Aluminum,51171.924499999994,2.425,30,1.482,39.0,11218887.60
2031,Cement,13205.182499999999,0.439,30,0.678,39.0,345033.75
2031,Fertilizers,924388.5014999999,2.091,1,0.812,39.0,141324795.80
2031,Hydrogen,197.9055,26.640,30,5.089,39.0,550204.75
2032,Iron & Steel,2481933.8935000002,0.690,30,0.188,26.5,179004886.92
2032,Aluminum,51171.924499999994,2.425,30,1.482,26.5,12026170.39
2032,Cement,13205.182499999999,0.439,30,0.678,26.5,440282.80
2032,Fertilizers,924388.5014999999,2.091,1,0.812,26.5,149312782.73
2032,Hydrogen,197.9055,26.640,30,5.089,26.5,560925.36
2033,Iron & Steel,2481933.8935000002,0.690,30,0.188,14.0,183961891.14
2033,Aluminum,51171.924499999994,2.425,30,1.482,14.0,12833453.18
2033,Cement,13205.182499999999,0.439,30,0.678,14.0,535531.86
2033,Fertilizers,924388.5014999999,2.091,1,0.812,14.0,157300769.65
2033,Hydrogen,197.9055,26.640,30,5.089,14.0,571645.98
2034,Iron & Steel,2481933.8935000002,0.690,30,0.188,0.0,189513735.86
2034,Aluminum,51171.924499999994,2.425,30,1.482,0.0,13737609.91
2034,Cement,13205.182499999999,0.439,30,0.678,0.0,642210.80
2034,Fertilizers,924388.5014999999,2.091,1,0.812,0.0,166247315.01
2034,Hydrogen,197.9055,26.640,30,5.089,0.0,583653.06
2035,Iron & Steel,2481933.8935000002,0.690,30,0.188,0.0,189513735.86
2035,Aluminum,51171.924499999994,2.425,30,1.482,0.0,13737609.91
2035,Cement,13205.182499999999,0.439,30,0.678,0.0,642210.80
2035,Fertilizers,924388.5014999999,2.091,1,0.812,0.0,166247315.01
2035,Hydrogen,197.9055,26.640,30,5.089,0.0,583653.06
