Year,Sector,CN Code,Description,Annual Trade Volume (t),Default Value (tCO2e/t),Mark-up (%),Benchmark (tCO2e/t),CBAM Factor (%),Projected CBAM Exposure (USD)
2026,Iron & Steel,2601 12 00,Agglomerated iron ores,1954006.2254999997,0.680,10,0.086,97.5,110512512.65
2026,Iron & Steel,7201,Pig iron,6.3957500000000005,1.210,10,1.210,97.5,82.38
2026,Iron & Steel,7202 11,Ferro-manganese >2%C,5.178000000000001,1.690,10,1.319,97.5,252.65
2026,Iron & Steel,7202 41,Ferro-chromium >4%C,4.307,2.350,10,1.124,97.5,546.16
2026,Iron & Steel,7202 60 00,Ferro-nickel,3.7712499999999993,3.480,10,2.343,97.5,495.72
2026,Iron & Steel,7203,DRI products,443494.4885,0.450,10,0.397,97.5,4075957.22
2026,Iron & Steel,7205,Granules/powders pig iron,8201.580750000001,2.425,10,1.288,97.5,985610.83
2026,Iron & Steel,7206 10 00,Steel ingots,183.64,1.330,10,1.288,97.5,3240.23
2026,Iron & Steel,7208,HR flat-rolled ≥600mm,1303.7140000000002,1.400,10,1.370,97.5,22675.86
2026,Iron & Steel,7209,CR flat-rolled ≥600mm,198.03775000000002,1.440,10,1.458,97.5,2739.60
2026,Iron & Steel,7210,Flat-rolled ≥600mm coated,5473.173250000001,1.440,10,1.491,97.5,60718.30
2026,Iron & Steel,7211 13 00,Wide flats 150–600mm,0.6332499999999999,1.400,10,1.370,97.5,11.01
2026,Iron & Steel,7212,Flat-rolled <600mm coated,6335.3305,1.440,10,1.491,97.5,70282.90
2026,Iron & Steel,7213,Bars and rods HR in coils,155.46649999999997,1.390,10,1.364,97.5,2635.89
2026,Iron & Steel,7214 20 00,Rebars,5.127249999999999,1.390,10,1.364,97.5,86.93
2026,Iron & Steel,7215,"Bars and rods, cold-formed",503.99399999999997,1.390,10,1.364,97.5,8545.08
2026,Iron & Steel,7216,"Angles, shapes and sections",489.9894999999999,1.390,10,1.364,97.5,8307.63
2026,Iron & Steel,7217 10,"Wire, uncoated",1160.2169999999999,1.390,10,1.364,97.5,19671.15
2026,Iron & Steel,7217 20,"Wire, zinc-coated",417.394,1.390,10,1.397,97.5,5933.17
2026,Iron & Steel,7218 10 00,SS ingots,3178.08825,3.110,10,1.400,97.5,556427.26
2026,Iron & Steel,7219 11 00,SS flat-rolled ≥600mm HR,6.60825,3.220,10,1.170,97.5,1351.27
2026,Iron & Steel,7219 31 00,SS flat-rolled ≥600mm CR,41.71575,3.270,10,1.250,97.5,8448.45
2026,Iron & Steel,7221,SS bars/rods HR in coils,384.28675000000004,3.270,10,1.206,97.5,79231.24
2026,Iron & Steel,7223 00,SS wire in coils,851.36525,3.270,10,1.206,97.5,175532.26
2026,Iron & Steel,7224 10,Alloy steel ingots,370.6405,3.490,10,1.724,97.5,68115.16
2026,Iron & Steel,7225 11 00,Si-elec. steel GO ≥600mm,3233.8505,4.730,10,1.779,97.5,955163.77
2026,Iron & Steel,7225 30,Alloy steel HR ≥600mm coils,234.37400000000002,3.590,10,1.493,97.5,49763.13
2026,Iron & Steel,7225 50,Alloy steel CR ≥600mm,97.15425,3.640,10,1.586,97.5,20332.99
2026,Iron & Steel,7301,Sheet piling,95.74725000000001,1.440,10,1.458,97.5,1324.54
2026,Iron & Steel,7302,Railway track material,159.76075,2.740,10,1.383,97.5,22659.67
2026,Iron & Steel,7303 00,Cast iron tubes/pipes,0,1.850,10,1.484,97.5,0.00
2026,Iron & Steel,7304 19,Seamless line pipe non-SS,3835.1745,1.974,10,1.383,97.5,268645.75
2026,Iron & Steel,7304 39,Seamless circular tubes HR,2256.72525,1.974,10,1.383,97.5,158078.76
2026,Iron & Steel,7305,Large-diameter welded pipes,229.948,1.440,10,1.458,97.5,3181.04
2026,Iron & Steel,7306 19 00,Welded line pipe non-SS,36.301,1.440,10,1.458,97.5,502.18
2026,Iron & Steel,7306 30 80,Welded tubes 168–406mm,31.213749999999997,1.440,10,1.491,97.5,346.28
2026,Iron & Steel,7307 21 00,SS flanges,152.698,2.800,10,1.154,97.5,25419.45
2026,Iron & Steel,7307 91 00,Flanges non-SS,162.20775,1.410,10,1.383,97.5,2798.19
2026,Iron & Steel,7308,Steel structures,5421.941,2.900,10,1.491,97.5,801664.46
2026,Iron & Steel,7309,Steel tanks >300L,1812.3339999999998,3.190,10,1.491,97.5,317195.86
2026,Iron & Steel,7310,Steel tanks ≤300L,6620.365500000002,1.440,10,1.491,97.5,73445.02
2026,Iron & Steel,7311 00,Steel containers compressed gas,3431.1755,3.730,10,1.364,97.5,810266.34
2026,Iron & Steel,7318 15,Threaded screws and bolts,7298.0297500000015,2.580,10,1.364,97.5,937249.25
2026,Iron & Steel,7318 16,Nuts,1934.6097499999998,3.030,10,1.364,97.5,330001.06
2026,Iron & Steel,7318 22 00,Washers,810.3247499999999,1.830,10,1.364,97.5,47137.09
2026,Iron & Steel,7318 23 00,Rivets,196.12474999999995,1.680,10,1.364,97.5,8652.97
2026,Iron & Steel,7326 90 98,Articles of iron/steel NES,17102.464999999997,1.440,10,1.491,97.5,189731.36
2026,Aluminum,7601,Unwrought aluminium,10562.752000000002,1.700,10,1.423,97.5,434071.46
2026,Aluminum,7603,Al powders and flakes,635.62675,2.032,10,1.506,97.5,41497.19
2026,Aluminum,7604 10 10,Al bars and rods,29.688000000000002,2.258,10,1.485,97.5,2619.46
2026,Aluminum,7604 10 90,Al profiles,57.97825,2.278,10,1.493,97.5,5185.71
2026,Aluminum,7604 21 00,Al hollow profiles,218.28675,2.278,10,1.493,97.5,19524.07
2026,Aluminum,7604 29 10,Al bars and rods (other),2164.6532499999994,2.258,10,1.485,97.5,190994.04
2026,Aluminum,7604 29 90,Al profiles (other),1259.35275,2.278,10,1.493,97.5,112639.43
2026,Aluminum,7605,Aluminum wire,3399.9722500000003,2.258,10,1.485,97.5,299990.06
2026,Aluminum,7606,"Al plates, sheets, strip >0.2mm",23225.381249999995,2.730,10,1.485,97.5,3075724.90
2026,Aluminum,7607,Aluminum foil ≤0.2mm,2179.44875,2.730,10,1.599,97.5,267994.37
2026,Aluminum,7608,Aluminum tubes and pipes,596.9262500000001,2.278,10,1.493,97.5,53390.47
2026,Aluminum,7609 00 00,Al tube/pipe fittings,264.3915,2.278,10,1.493,97.5,23647.79
2026,Aluminum,7610 10 00,"Al doors, windows, frames",243.5665,2.278,10,1.493,97.5,21785.15
2026,Aluminum,7611 00 00,Al reservoirs/tanks >300L,90.79575000000001,2.730,10,1.594,97.5,11202.33
2026,Aluminum,7612,"Al casks, drums, cans ≤300L",1493.321,2.730,10,1.594,97.5,184245.09
2026,Aluminum,7613 00 00,Al containers compressed gas,365.25925,2.730,10,1.594,97.5,45065.48
2026,Aluminum,7614,"Al stranded wire, cables",328.45675,2.258,10,1.485,97.5,28980.75
2026,Aluminum,7616 10 00,"Al nails, screws, nuts",330.82525000000004,2.730,10,1.485,97.5,43811.01
2026,Aluminum,7616 91 00,"Al cloth, grill, netting",117.23275000000001,2.730,10,1.485,97.5,15525.07
2026,Aluminum,7616 99 10,Al cast articles,420.3047499999999,2.032,10,1.506,97.5,27439.79
2026,Aluminum,7616 99 90,Other Al articles,3187.70475,2.730,10,1.485,97.5,422146.05
2026,Cement,2507 00 80,Calcined clay,11525.35875,0.310,10,0.666,97.5,0.00
2026,Cement,2523 10 00,White clinker,48.582750000000004,1.370,10,0.859,97.5,2769.72
2026,Cement,2523 10 00,Grey clinker,48.582750000000004,1.190,10,0.666,97.5,2729.07
2026,Cement,2523 21 00,White Portland cement,195.86875000000003,1.380,10,0.859,97.5,11350.02
2026,Cement,2523 29 00,Grey Portland cement,184.00725,1.210,10,0.666,97.5,10681.09
2026,Cement,2523 90 00,White hydraulic cements,568.8325,1.450,10,0.847,97.5,37258.80
2026,Cement,2523 90 00,Grey hydraulic cements,568.8325,1.160,10,0.666,97.5,30354.90
2026,Cement,2523 30 00,Aluminous cement,65.11725,1.940,10,0.717,97.5,7956.91
2026,Fertilizers,2808 00 00,Nitric acid,119.24974999999999,1.900,1,0.582,97.5,13724.89
2026,Fertilizers,2814 10 00,Anhydrous ammonia,193703.11200000002,3.410,1,1.522,97.5,32331293.61
2026,Fertilizers,2814 20 00,Ammonia in aqueous solution,1794.0124999999998,1.020,1,0.457,97.5,89283.99
2026,Fertilizers,2834 21 00,Nitrate of potassium,38.7455,1.910,1,0.626,97.5,4350.81
2026,Fertilizers,3102 10 12,"Urea aq. sol. >45%N, 31.8–33.2%",0.0055,0.760,1,0.304,97.5,0.22
2026,Fertilizers,3102 10 15,"Urea aq. sol. >45%N, 33.2–55%",0.0075,1.240,1,0.503,97.5,0.49
2026,Fertilizers,3102 10 19,Urea >45%N solid,1.387,2.290,1,0.902,97.5,169.32
2026,Fertilizers,3102 10 90,Urea ≤45%N,5284.0535,2.240,1,0.882,97.5,630884.77
2026,Fertilizers,3102 21 00,Ammonium sulphate,178.52325,1.030,1,0.414,97.5,9674.09
2026,Fertilizers,3102 29 00,Double salts: ammonium sulphate/nitrate,21.7695,1.530,1,0.566,97.5,1841.12
2026,Fertilizers,3102 30 10,Ammonium nitrate aqueous,6.985,1.470,1,0.508,97.5,588.69
2026,Fertilizers,3102 30 90,Ammonium nitrate solid,46674.957749999994,2.270,1,0.767,97.5,6141591.69
2026,Fertilizers,3102 40 10,AN+CaCO₃ ≤28%N,0.0075,1.980,1,0.688,97.5,0.85
2026,Fertilizers,3102 40 90,AN+CaCO₃ >28%N,0.024,1.980,1,0.688,97.5,2.72
2026,Fertilizers,3102 50 00,Sodium nitrate,27.25125000000001,2.970,1,0.693,97.5,5393.90
2026,Fertilizers,3102 60 00,Calcium nitrate/ammonium nitrate mix,4.4335,1.910,1,0.633,97.5,495.27
2026,Fertilizers,3102 80 00,UAN solution,652473.0460000001,1.740,1,0.625,97.5,63764933.21
2026,Fertilizers,3102 90 00,Other N-fertilizers,910.9499999999999,2.020,1,0.847,97.5,94187.91
2026,Fertilizers,3105 10 00,NPK packaged ≤10kg,698.42725,0.960,1,0.376,97.5,35887.72
2026,Fertilizers,3105 20 10,NPK >10%N,1674.0005,1.060,1,0.434,97.5,92352.65
2026,Fertilizers,3105 20 90,NPK ≤10%N,1615.7705000000003,0.740,1,0.319,97.5,59987.48
2026,Fertilizers,3105 30 00,DAP,2768.0637500000007,0.820,1,0.339,97.5,117264.53
2026,Fertilizers,3105 40 00,MAP,14691.4455,0.530,1,0.173,97.5,458300.59
2026,Fertilizers,3105 51 00,NP nitrates+phosphates,1.8867499999999997,1.420,1,0.548,97.5,144.55
2026,Fertilizers,3105 59 00,NP other,389.58725,1.010,1,0.391,97.5,21192.00
2026,Fertilizers,3105 90 20,NK >10%N,409.50050000000005,1.340,1,0.476,97.5,30997.50
2026,Fertilizers,3105 90 80,NK ≤10%N,901.2985000000001,0.710,1,0.248,97.5,36472.41
2026,Hydrogen,2804 10 00,Hydrogen,197.9055,26.640,10,5.089,97.5,410239.50
2027,Iron & Steel,2601 12 00,Agglomerated iron ores,1954006.2254999997,0.680,20,0.086,95.0,122185256.41
2027,Iron & Steel,7201,Pig iron,6.3957500000000005,1.210,20,1.210,95.0,164.75
2027,Iron & Steel,7202 11,Ferro-manganese >2%C,5.178000000000001,1.690,20,1.319,95.0,341.71
2027,Iron & Steel,7202 41,Ferro-chromium >4%C,4.307,2.350,20,1.124,95.0,642.65
2027,Iron & Steel,7202 60 00,Ferro-nickel,3.7712499999999993,3.480,20,2.343,95.0,626.29
2027,Iron & Steel,7203,DRI products,443494.4885,0.450,20,0.397,95.0,6150286.16
2027,Iron & Steel,7205,Granules/powders pig iron,8201.580750000001,2.425,20,1.288,95.0,1177816.11
2027,Iron & Steel,7206 10 00,Steel ingots,183.64,1.330,20,1.288,95.0,5823.66
2027,Iron & Steel,7208,HR flat-rolled ≥600mm,1303.7140000000002,1.400,20,1.370,95.0,42021.11
2027,Iron & Steel,7209,CR flat-rolled ≥600mm,198.03775000000002,1.440,20,1.458,95.0,5782.76
2027,Iron & Steel,7210,Flat-rolled ≥600mm coated,5473.173250000001,1.440,20,1.491,95.0,145206.58
2027,Iron & Steel,7211 13 00,Wide flats 150–600mm,0.6332499999999999,1.400,20,1.370,95.0,20.41
2027,Iron & Steel,7212,Flat-rolled <600mm coated,6335.3305,1.440,20,1.491,95.0,168080.13
2027,Iron & Steel,7213,Bars and rods HR in coils,155.46649999999997,1.390,20,1.364,95.0,4927.57
2027,Iron & Steel,7214 20 00,Rebars,5.127249999999999,1.390,20,1.364,95.0,162.51
2027,Iron & Steel,7215,"Bars and rods, cold-formed",503.99399999999997,1.390,20,1.364,95.0,15974.27
2027,Iron & Steel,7216,"Angles, shapes and sections",489.9894999999999,1.390,20,1.364,95.0,15530.39
2027,Iron & Steel,7217 10,"Wire, uncoated",1160.2169999999999,1.390,20,1.364,95.0,36773.50
2027,Iron & Steel,7217 20,"Wire, zinc-coated",417.394,1.390,20,1.397,95.0,12115.15
2027,Iron & Steel,7218 10 00,SS ingots,3178.08825,3.110,20,1.400,95.0,650067.25
2027,Iron & Steel,7219 11 00,SS flat-rolled ≥600mm HR,6.60825,3.220,20,1.170,95.0,1548.93
2027,Iron & Steel,7219 31 00,SS flat-rolled ≥600mm CR,41.71575,3.270,20,1.250,95.0,9721.09
2027,Iron & Steel,7221,SS bars/rods HR in coils,384.28675000000004,3.270,20,1.206,95.0,90918.84
2027,Iron & Steel,7223 00,SS wire in coils,851.36525,3.270,20,1.206,95.0,201425.47
2027,Iron & Steel,7224 10,Alloy steel ingots,370.6405,3.490,20,1.724,95.0,80490.84
2027,Iron & Steel,7225 11 00,Si-elec. steel GO ≥600mm,3233.8505,4.730,20,1.779,95.0,1097668.29
2027,Iron & Steel,7225 30,Alloy steel HR ≥600mm coils,234.37400000000002,3.590,20,1.493,95.0,57673.19
2027,Iron & Steel,7225 50,Alloy steel CR ≥600mm,97.15425,3.640,20,1.586,95.0,23672.52
