period,flow,sector,hs6,primaryValue,quantity_kg
2019-01,Export,aluminum_76,760110,54825,8155
2019-01,Export,aluminum_76,760120,3531006,865932
2019-01,Export,aluminum_76,760310,803471,83455
2019-01,Export,aluminum_76,760410,222643,10838
2019-01,Export,aluminum_76,760421,246494,29367
2019-01,Export,aluminum_76,760429,2671724,212376
2019-01,Export,aluminum_76,760511,5950,537
2019-01,Export,aluminum_76,760519,83600,17600
2019-01,Export,aluminum_76,760521,1015890,540
2019-01,Export,aluminum_76,760529,538338,99516
2019-01,Export,aluminum_76,760611,491279,48941
2019-01,Export,aluminum_76,760612,11571267,1252445
2019-01,Export,aluminum_76,760691,75496,16055
2019-01,Export,aluminum_76,760692,126421,7884
2019-01,Export,aluminum_76,760711,749961,90913
2019-01,Export,aluminum_76,760719,668811,16190
2019-01,Export,aluminum_76,760720,1805121,190355
2019-01,Export,aluminum_76,760810,15655,3025
2019-01,Export,aluminum_76,760820,746417,145959
2019-01,Export,aluminum_76,760900,1010224,60810
2019-01,Export,aluminum_76,761010,361685,23135
2019-01,Export,aluminum_76,761100,17932,4339
2019-01,Export,aluminum_76,761210,97543,4880
2019-01,Export,aluminum_76,761290,369049,47292
2019-01,Export,aluminum_76,761300,1335216,35236
2019-01,Export,aluminum_76,761490,89101,3762
2019-01,Export,aluminum_76,761610,1566090,24867
2019-01,Export,aluminum_76,761691,241733,28503
2019-01,Export,aluminum_76,761699,13199982,570469
2019-01,Export,cement_2523,250700,10723061,36325069
2019-01,Export,cement_2523,252310,41933,89175
2019-01,Export,cement_2523,252330,46220,54513
2019-01,Export,cement_2523,252390,28253,20058
2019-01,Export,fertilizers,280800,57089,16384
2019-01,Export,fertilizers,281410,108194,46263
2019-01,Export,fertilizers,281420,304999,168933
2019-01,Export,fertilizers,283421,3992,1412
2019-01,Export,fertilizers,310210,451991,741304
2019-01,Export,fertilizers,310221,21322,7626
2019-01,Export,fertilizers,310250,3720,2000
2019-01,Export,fertilizers,310280,5366958,29001178
2019-01,Export,fertilizers,310290,138090,11685
2019-01,Export,fertilizers,310510,43475,16692
2019-01,Export,fertilizers,310520,974973,538325
2019-01,Export,fertilizers,310540,3100,5000
2019-01,Export,fertilizers,310590,1883075,507722
2019-01,Export,iron_steel_72,720241,7796,11066
2019-01,Export,iron_steel_72,720390,68962,22554
2019-01,Export,iron_steel_72,720510,24383,0
2019-01,Export,iron_steel_72,720521,3068103,376489
2019-01,Export,iron_steel_72,720529,1452601,1202903
2019-01,Export,iron_steel_72,720810,167061,235879
2019-01,Export,iron_steel_72,720827,12281,8880
2019-01,Export,iron_steel_72,720836,3512,5912
2019-01,Export,iron_steel_72,720838,34400,13642
2019-01,Export,iron_steel_72,720851,4722,302
2019-01,Export,iron_steel_72,720890,527515,49844
2019-01,Export,iron_steel_72,720916,164897,209785
2019-01,Export,iron_steel_72,720917,95964,77095
2019-01,Export,iron_steel_72,720927,14000,4354
2019-01,Export,iron_steel_72,721012,24206,51754
2019-01,Export,iron_steel_72,721020,86587,8141
2019-01,Export,iron_steel_72,721049,1264307,1387141
2019-01,Export,iron_steel_72,721050,69391,106700
2019-01,Export,iron_steel_72,721061,60189,29998
2019-01,Export,iron_steel_72,721070,7077,1853
2019-01,Export,iron_steel_72,721090,99310,19998
2019-01,Export,iron_steel_72,721210,26872,2778
2019-01,Export,iron_steel_72,721230,72571,18578
2019-01,Export,iron_steel_72,721240,138998,58950
2019-01,Export,iron_steel_72,721250,364011,55272
2019-01,Export,iron_steel_72,721260,242045,64900
2019-01,Export,iron_steel_72,721391,9221,123
2019-01,Export,iron_steel_72,721550,6131,912
2019-01,Export,iron_steel_72,721590,46153,20126
2019-01,Export,iron_steel_72,721631,25885,15446
2019-01,Export,iron_steel_72,721640,10500,9546
2019-01,Export,iron_steel_72,721691,75794,48199
2019-01,Export,iron_steel_72,721710,318324,125209
2019-01,Export,iron_steel_72,721720,25226,15665
2019-01,Export,iron_steel_72,721810,1397488,14175
2019-01,Export,iron_steel_72,721911,4956,706
2019-01,Export,iron_steel_72,722100,97926,7032
2019-01,Export,iron_steel_72,722300,1839314,24506
2019-01,Export,iron_steel_72,722410,778899,44035
2019-01,Export,iron_steel_72,722511,2202284,973640
2019-01,Export,iron_steel_72,722530,211300,84850
2019-01,Export,iron_steel_72,722550,266035,213954
2019-01,Export,iron_steel_73,730110,103538,6316
2019-01,Export,iron_steel_73,730120,456022,72823
2019-01,Export,iron_steel_73,730210,157704,12167
2019-01,Export,iron_steel_73,730230,3860,1031
2019-01,Export,iron_steel_73,730290,23666,9333
2019-01,Export,iron_steel_73,730300,14306,856
2019-01,Export,iron_steel_73,730419,59892,29928
2019-01,Export,iron_steel_73,730439,113744,36785
2019-01,Export,iron_steel_73,730539,11244,3136
2019-01,Export,iron_steel_73,730590,33298,2178
2019-01,Export,iron_steel_73,730630,431752,145466
2019-01,Export,iron_steel_73,730721,827239,22588
2019-01,Export,iron_steel_73,730791,822191,44317
2019-01,Export,iron_steel_73,730820,76769,1497
2019-01,Export,iron_steel_73,730830,246012,24345
2019-01,Export,iron_steel_73,730840,2809,681
2019-01,Export,iron_steel_73,730890,678504,103872
2019-01,Export,iron_steel_73,730900,2091723,206020
2019-01,Export,iron_steel_73,731010,481806,119534
2019-01,Export,iron_steel_73,731021,230769,658
2019-01,Export,iron_steel_73,731029,901788,61176
2019-01,Export,iron_steel_73,731100,7082902,394062
2019-01,Export,iron_steel_73,731815,11974321,707466
2019-01,Export,iron_steel_73,731816,7238667,194002
2019-01,Export,iron_steel_73,731822,2710045,261204
2019-01,Export,iron_steel_73,731823,971321,39298
2019-01,Export,iron_steel_73,732690,25123394,2389885
2019-02,Export,aluminum_76,760110,61935,6282
2019-02,Export,aluminum_76,760120,2598601,680639
2019-02,Export,aluminum_76,760310,92969,7951
2019-02,Export,aluminum_76,760320,20936,4468
2019-02,Export,aluminum_76,760410,275493,7451
2019-02,Export,aluminum_76,760421,133320,12282
2019-02,Export,aluminum_76,760429,2822296,227396
2019-02,Export,aluminum_76,760519,175194,32233
2019-02,Export,aluminum_76,760521,1016898,1698
2019-02,Export,aluminum_76,760529,736367,134568
2019-02,Export,aluminum_76,760611,172836,15947
2019-02,Export,aluminum_76,760612,7717332,935412
2019-02,Export,aluminum_76,760691,47741,16106
2019-02,Export,aluminum_76,760692,323402,11680
2019-02,Export,aluminum_76,760711,759751,189316
2019-02,Export,aluminum_76,760719,433367,3217
2019-02,Export,aluminum_76,760720,1774069,261535
2019-02,Export,aluminum_76,760810,6245,172
2019-02,Export,aluminum_76,760820,713172,115615
2019-02,Export,aluminum_76,760900,759957,38858
2019-02,Export,aluminum_76,761010,268035,20359
2019-02,Export,aluminum_76,761100,2700,1555
2019-02,Export,aluminum_76,761210,59391,2693
2019-02,Export,aluminum_76,761290,728098,90089
2019-02,Export,aluminum_76,761300,1660270,54248
2019-02,Export,aluminum_76,761410,24035,1263
2019-02,Export,aluminum_76,761490,42690,608
2019-02,Export,aluminum_76,761610,2193765,54365
2019-02,Export,aluminum_76,761691,357928,49078
2019-02,Export,aluminum_76,761699,15132414,626108
2019-02,Export,cement_2523,250700,5785725,17630670
2019-02,Export,cement_2523,252321,7714,1506
2019-02,Export,cement_2523,252390,56765,62924
2019-02,Export,fertilizers,280800,34648,9916
2019-02,Export,fertilizers,281410,6630,1936
2019-02,Export,fertilizers,281420,294124,178896
2019-02,Export,fertilizers,310210,373676,629343
2019-02,Export,fertilizers,310221,102711,287182
2019-02,Export,fertilizers,310280,25000,10000
2019-02,Export,fertilizers,310290,77135,4000
2019-02,Export,fertilizers,310510,112058,33622
2019-02,Export,fertilizers,310520,713451,7456182
2019-02,Export,fertilizers,310530,35078,26000
2019-02,Export,fertilizers,310590,1336275,245188
2019-02,Export,iron_steel_72,720260,3200,243
2019-02,Export,iron_steel_72,720390,37830745,106334608
2019-02,Export,iron_steel_72,720510,139716,0
2019-02,Export,iron_steel_72,720521,3389030,682477
2019-02,Export,iron_steel_72,720529,1769141,1293007
2019-02,Export,iron_steel_72,720810,197562,245449
2019-02,Export,iron_steel_72,720827,3297,888
2019-02,Export,iron_steel_72,720839,2920,4690
2019-02,Export,iron_steel_72,720890,417189,24192
2019-02,Export,iron_steel_72,720916,408127,519230
2019-02,Export,iron_steel_72,720917,117127,135617
2019-02,Export,iron_steel_72,720918,86979,36897
2019-02,Export,iron_steel_72,720990,14620,12468
2019-02,Export,iron_steel_72,721012,18000,50991
2019-02,Export,iron_steel_72,721020,108720,12077
2019-02,Export,iron_steel_72,721030,20080,17451
2019-02,Export,iron_steel_72,721049,50000,51210
2019-02,Export,iron_steel_72,721050,237303,206080
2019-02,Export,iron_steel_72,721061,25673,22606
2019-02,Export,iron_steel_72,721070,84858,8652
2019-02,Export,iron_steel_72,721090,39781,10637
2019-02,Export,iron_steel_72,721240,237982,77260
2019-02,Export,iron_steel_72,721250,1808558,274594
2019-02,Export,iron_steel_72,721260,245398,52002
2019-02,Export,iron_steel_72,721310,67840,91949
2019-02,Export,iron_steel_72,721391,4957,95
2019-02,Export,iron_steel_72,721590,74980,24609
2019-02,Export,iron_steel_72,721631,108461,90384
2019-02,Export,iron_steel_72,721632,17729,211159
2019-02,Export,iron_steel_72,721633,36072,18180
2019-02,Export,iron_steel_72,721691,92027,74715
2019-02,Export,iron_steel_72,721710,447055,133474
2019-02,Export,iron_steel_72,721720,8639,7226
2019-02,Export,iron_steel_72,721810,645255,28671
2019-02,Export,iron_steel_72,722100,131169,11386
2019-02,Export,iron_steel_72,722300,1922142,26181
2019-02,Export,iron_steel_72,722410,521586,88222
2019-02,Export,iron_steel_72,722511,3070114,1357829
2019-02,Export,iron_steel_72,722550,18755,8090
2019-02,Export,iron_steel_73,730110,42342,3328
2019-02,Export,iron_steel_73,730120,413512,128331
2019-02,Export,iron_steel_73,730210,146039,64085
2019-02,Export,iron_steel_73,730290,63200,13112
2019-02,Export,iron_steel_73,730300,2646,1180
2019-02,Export,iron_steel_73,730419,273017,54672
2019-02,Export,iron_steel_73,730439,117580,58651
2019-02,Export,iron_steel_73,730511,4650,1702
2019-02,Export,iron_steel_73,730531,15704,589
2019-02,Export,iron_steel_73,730590,29637,272
2019-02,Export,iron_steel_73,730630,551292,224220
2019-02,Export,iron_steel_73,730721,853673,20233
2019-02,Export,iron_steel_73,730791,168107,4599
2019-02,Export,iron_steel_73,730810,46222,20758
2019-02,Export,iron_steel_73,730820,133845,13219
2019-02,Export,iron_steel_73,730830,148736,9521
2019-02,Export,iron_steel_73,730840,215148,35013
2019-02,Export,iron_steel_73,730890,1411002,290110
2019-02,Export,iron_steel_73,730900,877048,86827
2019-02,Export,iron_steel_73,731010,543749,146129
2019-02,Export,iron_steel_73,731021,3750,1500
2019-02,Export,iron_steel_73,731029,394431,20929
2019-02,Export,iron_steel_73,731100,7741236,519783
2019-02,Export,iron_steel_73,731815,10280446,524724
2019-02,Export,iron_steel_73,731816,6074080,143869
2019-02,Export,iron_steel_73,731822,2067079,242090
2019-02,Export,iron_steel_73,731823,1312464,45406
2019-02,Export,iron_steel_73,732690,29936333,2636846
2019-03,Export,aluminum_76,760110,67176,10893
2019-03,Export,aluminum_76,760120,3777179,1138872
2019-03,Export,aluminum_76,760310,822072,72795
2019-03,Export,aluminum_76,760320,31805,2742
2019-03,Export,aluminum_76,760410,381329,9909
2019-03,Export,aluminum_76,760421,96499,7676
2019-03,Export,aluminum_76,760429,4315585,409783
2019-03,Export,aluminum_76,760519,294186,55361
2019-03,Export,aluminum_76,760521,673111,469
2019-03,Export,aluminum_76,760529,909695,186870
2019-03,Export,aluminum_76,760611,387075,40332
2019-03,Export,aluminum_76,760612,13824345,1393091
2019-03,Export,aluminum_76,760691,165517,28563
2019-03,Export,aluminum_76,760692,132397,13306
2019-03,Export,aluminum_76,760711,530164,144115
2019-03,Export,aluminum_76,760719,558167,37790
2019-03,Export,aluminum_76,760720,1667286,140734
2019-03,Export,aluminum_76,760810,20915,2195
2019-03,Export,aluminum_76,760820,410239,82273
2019-03,Export,aluminum_76,760900,728350,40250
2019-03,Export,aluminum_76,761010,268546,30783
2019-03,Export,aluminum_76,761100,82122,4808
2019-03,Export,aluminum_76,761210,89364,2552
2019-03,Export,aluminum_76,761290,375936,58378
2019-03,Export,aluminum_76,761300,1823311,38569
2019-03,Export,aluminum_76,761490,35587,322
2019-03,Export,aluminum_76,761610,2424081,40432
2019-03,Export,aluminum_76,761691,205419,22806
2019-03,Export,aluminum_76,761699,19910023,803108
2019-03,Export,cement_2523,250700,14425506,52083241
2019-03,Export,cement_2523,252310,9517,14959
2019-03,Export,cement_2523,252321,36770,15732
2019-03,Export,cement_2523,252329,162085,226798
2019-03,Export,cement_2523,252330,23120,14558
2019-03,Export,cement_2523,252390,12437,30750
2019-03,Export,fertilizers,280800,19783,6396
2019-03,Export,fertilizers,281410,208542,342237
2019-03,Export,fertilizers,281420,531944,263697
2019-03,Export,fertilizers,310210,706469,1120785
2019-03,Export,fertilizers,310221,203116,604000
2019-03,Export,fertilizers,310280,5112333,37003410
2019-03,Export,fertilizers,310290,42840,10457
2019-03,Export,fertilizers,310510,49595,12759
2019-03,Export,fertilizers,310520,931179,731408
2019-03,Export,fertilizers,310559,44790,47183
2019-03,Export,fertilizers,310590,1156671,215124
