period,flow,sector,partnerDesc,primaryValue,quantity_kg
2019-01,Export,aluminum_76,Afghanistan,2681,13
2019-01,Export,aluminum_76,Algeria,2680,393
2019-01,Export,aluminum_76,Anguilla,92224,18816
2019-01,Export,aluminum_76,Antigua And Barbuda,134999,16440
2019-01,Export,aluminum_76,Argentina,539002,52558
2019-01,Export,aluminum_76,Aruba,151538,28484
2019-01,Export,aluminum_76,Australia,5101597,635106
2019-01,Export,aluminum_76,Austria,566828,24015
2019-01,Export,aluminum_76,Azerbaijan,18008,1864
2019-01,Export,aluminum_76,Bahamas,1632867,177295
2019-01,Export,aluminum_76,Bahrain,28027,2300
2019-01,Export,aluminum_76,Barbados,296079,52952
2019-01,Export,aluminum_76,Belarus,7399,305
2019-01,Export,aluminum_76,Belgium,3019871,351395
2019-01,Export,aluminum_76,Belize,74078,22877
2019-01,Export,aluminum_76,Bermuda,286488,30808
2019-01,Export,aluminum_76,Bolivia,12750,1247
2019-01,Export,aluminum_76,Bosnia And Herzegovina,3745,559
2019-01,Export,aluminum_76,Brazil,7657041,1079974
2019-01,Export,aluminum_76,British Virgin Islands,283505,29324
2019-01,Export,aluminum_76,Bulgaria,11834,102
2019-01,Export,aluminum_76,Cacm,4991347,937977
2019-01,Export,aluminum_76,Cambodia,15000,1937
2019-01,Export,aluminum_76,Canada,210539544,158528
2019-01,Export,aluminum_76,Cayman Islands,538500,65940
2019-01,Export,aluminum_76,Chad,7505,38
2019-01,Export,aluminum_76,Chile,1039621,122281
2019-01,Export,aluminum_76,China,17843566,1893567
2019-01,Export,aluminum_76,Colombia,1283810,191498
2019-01,Export,aluminum_76,Costa Rica,515513,54273
2019-01,Export,aluminum_76,Croatia,3926,812
2019-01,Export,aluminum_76,Curacao,17688,4168
2019-01,Export,aluminum_76,Cyprus,4649,659
2019-01,Export,aluminum_76,Czech Republic,1405838,217683
2019-01,Export,aluminum_76,Denmark,114785,6606
2019-01,Export,aluminum_76,Djibouti,279868,33828
2019-01,Export,aluminum_76,Dominica,35907,5375
2019-01,Export,aluminum_76,Dominican Republic,1526627,197357
2019-01,Export,aluminum_76,Ecuador,236811,19175
2019-01,Export,aluminum_76,Egypt,74561,3847
2019-01,Export,aluminum_76,El Salvador,223225,18104
2019-01,Export,aluminum_76,Equatorial Guinea,19987,307
2019-01,Export,aluminum_76,Ethiopia,28991,2846
2019-01,Export,aluminum_76,Finland,74852,3901
2019-01,Export,aluminum_76,France,15544768,1708746
2019-01,Export,aluminum_76,Georgia,134355,2399
2019-01,Export,aluminum_76,Germany,10010057,669067
2019-01,Export,aluminum_76,Ghana,9000,66
2019-01,Export,aluminum_76,Greece,98031,11905
2019-01,Export,aluminum_76,Grenada,25793,4502
2019-01,Export,aluminum_76,Guadeloupe,7041,1429
2019-01,Export,aluminum_76,Guatemala,2539046,778902
2019-01,Export,aluminum_76,Guyana,161539,9645
2019-01,Export,aluminum_76,Haiti,24632,4384
2019-01,Export,aluminum_76,Honduras,1621981,75194
2019-01,Export,aluminum_76,Hong Kong,1338668,98869
2019-01,Export,aluminum_76,Hungary,666385,27481
2019-01,Export,aluminum_76,Iceland,96571,33002
2019-01,Export,aluminum_76,India,3352032,310450
2019-01,Export,aluminum_76,Indonesia,279927,33590
2019-01,Export,aluminum_76,Iraq,121572,3075
2019-01,Export,aluminum_76,Ireland,1781376,131725
2019-01,Export,aluminum_76,Israel,6025244,925459
2019-01,Export,aluminum_76,Italy,4291458,249670
2019-01,Export,aluminum_76,Jamaica,1064322,130608
2019-01,Export,aluminum_76,Japan,26770238,2548197
2019-01,Export,aluminum_76,Jordan,3124,380
2019-01,Export,aluminum_76,Kazakhstan,13106,1671
2019-01,Export,aluminum_76,Kenya,14918,793
2019-01,Export,aluminum_76,Kuwait,9429,1562
2019-01,Export,aluminum_76,Latvia,16830,189
2019-01,Export,aluminum_76,Lebanon,84279,9569
2019-01,Export,aluminum_76,Liberia,75064,13659
2019-01,Export,aluminum_76,Lithuania,21947,1999
2019-01,Export,aluminum_76,Luxembourg,29881,1259
2019-01,Export,aluminum_76,Macau,10989,5
2019-01,Export,aluminum_76,Madagascar,8497,55
2019-01,Export,aluminum_76,Malaysia,4858948,372822
2019-01,Export,aluminum_76,Maldives,30025,2736
2019-01,Export,aluminum_76,Malta,11204,592
2019-01,Export,aluminum_76,Mauritania,10000,6000
2019-01,Export,aluminum_76,Mexico,317047461,54763
2019-01,Export,aluminum_76,Morocco,58689,2469
2019-01,Export,aluminum_76,Netherlands,3737171,267595
2019-01,Export,aluminum_76,New Zealand,530803,80549
2019-01,Export,aluminum_76,Nicaragua,91582,11504
2019-01,Export,aluminum_76,Niger,11149,4
2019-01,Export,aluminum_76,Nigeria,119559,7402
2019-01,Export,aluminum_76,Norway,154689,7501
2019-01,Export,aluminum_76,Oman,21061,292
2019-01,Export,aluminum_76,Pakistan,17851,339
2019-01,Export,aluminum_76,Panama,613267,59178
2019-01,Export,aluminum_76,Paraguay,9226,523
2019-01,Export,aluminum_76,Peru,415172,57452
2019-01,Export,aluminum_76,Philippines,582798,19135
2019-01,Export,aluminum_76,Poland,2078240,145614
2019-01,Export,aluminum_76,Portugal,184049,18588
2019-01,Export,aluminum_76,Qatar,437681,20738
2019-01,Export,aluminum_76,Rep. of Korea,23788034,3200437
2019-01,Export,aluminum_76,Romania,405267,40790
2019-01,Export,aluminum_76,Russian Federation,904721,36483
2019-01,Export,aluminum_76,Rwanda,4930,35
2019-01,Export,aluminum_76,Samoa,13685,2000
2019-01,Export,aluminum_76,Saudi Arabia,2506286,251352
2019-01,Export,aluminum_76,Senegal,2777,21
2019-01,Export,aluminum_76,Serbia,5442,44
2019-01,Export,aluminum_76,Singapore,6443463,496066
2019-01,Export,aluminum_76,Sint Maarten,558925,105183
2019-01,Export,aluminum_76,Slovenia,19785,6
2019-01,Export,aluminum_76,Somalia,102000,3592
2019-01,Export,aluminum_76,South Africa,393737,30161
2019-01,Export,aluminum_76,Spain,1237469,112552
2019-01,Export,aluminum_76,Sri Lanka,10020,420
2019-01,Export,aluminum_76,St Kitts And Nevis,78139,25206
2019-01,Export,aluminum_76,St Lucia,76570,10290
2019-01,Export,aluminum_76,St Vincent And The Grenadines,8856,240
2019-01,Export,aluminum_76,Suriname,14942,3904
2019-01,Export,aluminum_76,Sweden,257422,18715
2019-01,Export,aluminum_76,Switzerland,1763453,64745
2019-01,Export,aluminum_76,Taiwan,6117915,708106
2019-01,Export,aluminum_76,Tanzania,12273,1603
2019-01,Export,aluminum_76,Thailand,1982448,336469
2019-01,Export,aluminum_76,Trinidad And Tobago,762648,108787
2019-01,Export,aluminum_76,Tunisia,50533,2047
2019-01,Export,aluminum_76,Turks And Caicos Islands,132202,17628
2019-01,Export,aluminum_76,Türkiye,4071567,511907
2019-01,Export,aluminum_76,Uganda,3219,9
2019-01,Export,aluminum_76,Ukraine,4077900,25042
2019-01,Export,aluminum_76,United Arab Emirates,1351695,156318
2019-01,Export,aluminum_76,United Kingdom,14940326,1406705
2019-01,Export,aluminum_76,Uruguay,54430,1462
2019-01,Export,aluminum_76,Venezuela,37231,3457
2019-01,Export,aluminum_76,Viet Nam,353146,42365
2019-01,Export,aluminum_76,Zambia,34343,746
2019-01,Export,cement_2523,Angola,14000,10065
2019-01,Export,cement_2523,Anguilla,6950,40930
2019-01,Export,cement_2523,Argentina,295076,573966
2019-01,Export,cement_2523,Aruba,39264,95870
2019-01,Export,cement_2523,Australia,159792,313873
2019-01,Export,cement_2523,Austria,23682,40155
2019-01,Export,cement_2523,Bahamas,721952,4445372
2019-01,Export,cement_2523,Bahrain,3900,10073
2019-01,Export,cement_2523,Barbados,11023,20956
2019-01,Export,cement_2523,Belgium,836610,1960761
2019-01,Export,cement_2523,Bermuda,11416,11928
2019-01,Export,cement_2523,Bolivia,29058,48012
2019-01,Export,cement_2523,Brazil,962687,2730371
